	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
gene0	394	294	523	6	706	301	545	812	842	279
gene1	370	497	931	636	818	991	174	898	611	630
gene2	572	489	194	692	318	395	667	16	621	83
gene3	715	143	188	303	686	539	876	105	211	868
gene4	663	834	55	407	331	487	483	779	106	143
gene5	926	521	967	915	686	778	282	947	92	552
gene6	222	415	53	696	22	13	109	834	18	552
gene7	992	362	362	147	201	698	535	18	151	467
gene8	902	761	438	709	365	978	126	149	892	701
gene9	811	728	2	263	80	511	780	718	104	126
gene10	750	762	80	92	239	738	603	0	125	82
gene11	216	474	250	769	836	851	508	697	334	419
gene12	176	157	314	860	229	370	922	265	483	760
gene13	887	222	944	362	261	682	42	483	170	143
gene14	153	293	172	506	638	321	367	223	76	321
gene15	746	502	370	59	913	887	108	763	32	378
gene16	691	511	205	929	879	710	495	551	36	390
gene17	118	945	158	230	331	128	993	882	700	329
gene18	94	811	756	55	595	723	749	943	561	815
gene19	50	891	581	86	467	197	377	268	854	727
gene20	179	520	968	635	747	417	298	664	865	940
gene21	135	666	11	922	879	412	297	631	844	892
gene22	700	73	870	838	714	269	519	577	90	154
gene23	842	277	545	768	52	87	337	979	639	600
gene24	715	14	986	266	282	75	564	897	146	887
gene25	255	531	24	421	158	500	396	826	767	779
gene26	979	938	262	775	731	18	263	284	250	753
gene27	755	71	589	331	599	892	301	872	900	512
gene28	511	602	100	348	858	569	91	628	9	800
gene29	927	633	653	625	880	608	627	237	538	234
gene30	890	728	81	386	848	106	463	186	780	699
gene31	51	138	280	362	696	128	592	119	898	122
gene32	973	955	261	20	776	143	175	563	17	610
gene33	801	772	930	125	761	863	199	485	548	430
gene34	243	921	257	407	446	313	645	526	775	410
gene35	29	987	292	344	326	587	892	797	751	287
gene36	690	605	556	499	679	57	708	494	59	547
gene37	286	578	50	583	248	483	892	663	695	606
gene38	561	167	379	604	177	423	577	759	832	592
gene39	714	886	764	161	696	850	272	524	948	693
gene40	84	640	34	193	187	539	798	408	208	637
gene41	758	323	188	126	371	729	737	679	507	393
gene42	896	93	325	326	667	592	567	642	837	323
gene43	236	953	992	666	262	538	55	802	846	387
gene44	345	395	173	417	966	897	111	574	33	400
gene45	523	537	224	475	431	731	553	902	777	134
gene46	157	399	531	103	231	639	788	908	261	477
gene47	856	744	805	854	456	954	536	499	744	502
gene48	957	448	538	291	105	914	17	89	264	305
gene49	37	929	485	74	279	322	965	359	632	329
gene50	73	109	8	846	798	642	88	445	569	119
gene51	219	15	776	518	340	686	371	160	466	777
gene52	446	461	355	410	666	924	153	787	716	35
gene53	628	113	350	180	170	53	271	619	826	172
gene54	995	147	170	314	229	836	977	523	867	194
gene55	710	192	195	883	55	516	993	563	673	723
gene56	308	85	183	880	791	333	762	736	660	133
gene57	112	963	951	385	33	569	289	154	379	39
gene58	988	804	422	895	10	812	660	307	41	823
gene59	530	901	307	204	677	394	327	225	341	396
gene60	8	670	990	990	901	772	976	300	976	409
gene61	495	736	142	703	860	499	802	401	968	857
gene62	95	18	518	440	931	786	846	755	34	934
gene63	786	316	977	320	905	776	659	127	693	391
gene64	702	667	998	16	647	529	392	261	874	54
gene65	332	53	604	499	737	114	660	45	34	830
gene66	428	763	712	370	914	951	780	230	592	140
gene67	949	430	796	607	569	224	21	835	871	358
gene68	931	962	410	335	917	636	901	188	557	49
gene69	912	791	234	636	655	361	840	259	401	754
gene70	30	761	680	669	141	989	907	855	643	873
gene71	678	759	969	387	285	814	509	561	932	821
gene72	259	498	735	312	667	326	56	757	880	861
gene73	743	343	738	808	672	562	210	615	718	432
gene74	180	465	812	188	937	351	719	208	334	73
gene75	701	395	470	954	430	34	838	993	801	128
gene76	167	829	984	59	421	103	883	666	535	128
gene77	819	364	308	99	657	811	732	350	767	711
gene78	177	767	670	361	954	562	367	704	420	586
gene79	786	159	744	294	200	540	908	163	177	450
gene80	971	215	201	590	740	195	375	768	212	825
gene81	111	605	596	484	819	287	176	72	594	75
gene82	795	585	822	166	768	140	204	57	609	149
gene83	974	977	582	88	765	590	290	570	45	651
gene84	803	388	234	956	435	497	46	323	698	112
gene85	41	191	384	641	464	509	509	967	906	173
gene86	160	987	486	2	716	557	134	820	526	110
gene87	263	836	19	677	869	67	266	873	38	691
gene88	75	104	101	75	89	100	256	413	380	114
gene89	764	719	85	721	706	810	420	628	722	29
gene90	242	931	977	948	308	285	310	62	836	243
gene91	362	533	149	361	416	139	744	37	800	982
gene92	259	713	712	697	66	966	166	567	440	403
gene93	483	88	181	499	341	935	688	989	84	767
gene94	719	227	906	139	573	441	213	889	597	918
gene95	246	695	384	168	719	263	41	38	460	696
gene96	307	110	173	139	960	956	617	202	530	376
gene97	608	163	736	604	79	516	890	549	771	155
gene98	294	565	582	456	692	294	444	672	263	122
gene99	987	933	168	620	250	799	432	903	715	825
